,product_id,final_quantity_requested,company_id_x,ship_from_site_id,customer_tpartner_id,requested_delivery_date,order_date,actual_delivery_date,promised_delivery_date,status,id_x,cust_order_id,id_y,description,company_id_y,Unnamed: 3,hts_code,is_hazmat,is_flammable,is_special_handling,is_perishable,is_digital,is_deleted,is_lot_controlled,is_expiry_controlled,creation_date,brand_name,parent_product_id,display_desc,discontinue_day,base_uom,unit_price,currency_uom,product_available_day,shipping_weight,shipping_dimension,unit_volume,pkg_length,pkg_width,pkg_height,weight_uom,dim_uom,volume_uom,casepack_size,gtin,db_creation_dttm,db_updation_dttm,sap_0material_attr__prdha
8162,8272704,1,1,365,,2021-08-21,2021-08-21,2021-08-21,2021-08-21,Closed,82724/365//1323942872/1,1323942872,8272704,BODY WRAP RED PANDA AOP:BLUE:56,1,8230417 Body Wrap Red Panda aop/8230417 Body Wrap Red Panda aop - Blue,,,,,,,False,,,,8914 Baby CoP Tops,9328,Body,,1-PACK,2.46,USD,,,,,,,,,,,,,,,
8163,8284740,1,1,670,,2022-01-21,2022-01-21,2022-01-21,2022-01-21,Closed,82847/6//1371988897/2,1371988897,8284740,TROUSERS BEAR KNEE:DUSTY BLUE:74,1,8235840 Trousers bear knee/8235840 Trousers bear knee - Dusty blue,,,,,,,False,,,,8911 Baby Bottoms,9315,Trousers,,1-PACK,2.75,USD,,,,,,,,,,,,,,,
8164,8284740,1,1,366,9273002.0,2021-10-27,2021-10-27,2021-10-27,2021-10-27,Closed,82847/366/92702/13427702/2,1342775002,8284740,TROUSERS BEAR KNEE:DUSTY BLUE:74,1,8235840 Trousers bear knee/8235840 Trousers bear knee - Dusty blue,,,,,,,False,,,,8911 Baby Bottoms,9315,Trousers,,1-PACK,2.75,USD,,,,,,,,,,,,,,,
8165,8284740,1,1,172,1972080.0,2021-11-08,2021-11-08,2021-11-08,2021-11-08,Closed,82847/172/197/13473142/,1347314202,8284740,TROUSERS BEAR KNEE:DUSTY BLUE:74,1,8235840 Trousers bear knee/8235840 Trousers bear knee - Dusty blue,,,,,,,False,,,,8911 Baby Bottoms,9315,Trousers,,1-PACK,2.75,USD,,,,,,,,,,,,,,,
8166,8284740,1,1,674,,2021-11-17,2021-11-17,2021-11-17,2021-11-17,Closed,82847/674//133975/2,1350391075,8284740,TROUSERS BEAR KNEE:DUSTY BLUE:74,1,8235840 Trousers bear knee/8235840 Trousers bear knee - Dusty blue,,,,,,,False,,,,8911 Baby Bottoms,9315,Trousers,,1-PACK,2.75,USD,,,,,,,,,,,,,,,
8167,8284740,1,1,805,8834828.0,2021-10-24,2021-10-20,2021-10-24,2021-10-24,Closed,82847/5/8834828/13412611/1,1341012611,8284740,TROUSERS BEAR KNEE:DUSTY BLUE:74,1,8235840 Trousers bear knee/8235840 Trousers bear knee - Dusty blue,,,,,,,False,,,,8911 Baby Bottoms,9315,Trousers,,1-PACK,2.75,USD,,,,,,,,,,,,,,,
8168,8251938,1,1,823,4279594.0,11/29/2021,2021-11-25,11/29/2021,11/29/2021,Closed,8251938/823/4279594/1353315734/3,1353315734,8251938,TOP MERINO WOOL EMELY SHORT SL:BLACK:S,1,8249152 Top merino wool Emely short sl/8249152 Top merino wool Emely short sl - Black,,,,,,,False,,,,2700 Base Layer Underwear,9325,Camisole/Undershirt,,1-PACK,6.97,USD,,,,,,,,,,,,,,,
8169,8251938,1,1,188,4738749.0,10/21/2021,2021-10-21,10/21/2021,10/21/2021,Closed,8251938/188/4738749/13897554/3,1340897554,8251938,TOP MERINO WOOL EMELY SHORT SL:BLACK:S,1,8249152 Top merino wool Emely short sl/8249152 Top merino wool Emely short sl - Black,,,,,,,False,,,,2700 Base Layer Underwear,9325,Camisole/Undershirt,,1-PACK,6.97,USD,,,,,,,,,,,,,,,
8170,8251938,1,1,821,9166835.0,1/5/2022,2022-01-01,1/5/2022,1/5/2022,Closed,8251938/821/9166835/13666343/2,1366631043,8251938,TOP MERINO WOOL EMELY SHORT SL:BLACK:S,1,8249152 Top merino wool Emely short sl/8249152 Top merino wool Emely short sl - Black,,,,,,,False,,,,2700 Base Layer Underwear,9325,Camisole/Undershirt,,1-PACK,6.97,USD,,,,,,,,,,,,,,,
8171,8251938,1,1,173,,10/7/2022,2022-10-07,10/7/2022,10/7/2022,Closed,8251938/173//1452662629/3,1452662629,8251938,TOP MERINO WOOL EMELY SHORT SL:BLACK:S,1,8249152 Top merino wool Emely short sl/8249152 Top merino wool Emely short sl - Black,,,,,,,False,,,,2700 Base Layer Underwear,9325,Camisole/Undershirt,,1-PACK,6.97,USD,,,,,,,,,,,,,,,
8172,8248382,1,1,266,9054038.0,2021-07-27,2021-07-27,2021-07-27,2021-07-27,Closed,8248382/266/538/1317886357/2,1317886357,8248382,SHAWL KNITTED LEO PATTERN:BROWN:0,1,8193110 Shawl knitted Leo pattern/8193110 Shawl knitted Leo pattern - Brown,,,,,,,False,,,,8917 Baby Other,9419,Baby Item,,1-PACK,3.95,USD,,,,,,,,,,,,,,,
8173,8248382,1,1,444,9942387.0,2022-08-23,2022-08-23,2022-08-23,2022-08-23,Closed,8248382/444/9942387/1439637152/1,1439637152,8248382,SHAWL KNITTED LEO PATTERN:BROWN:0,1,8193110 Shawl knitted Leo pattern/8193110 Shawl knitted Leo pattern - Brown,,,,,,,False,,,,8917 Baby Other,9419,Baby Item,,1-PACK,3.95,USD,,,,,,,,,,,,,,,
8174,8248382,1,1,823,6311577.0,2021-12-20,2021-12-16,2021-12-20,2021-12-20,Closed,8248382/823/6311577/13623663/2,1361023663,8248382,SHAWL KNITTED LEO PATTERN:BROWN:0,1,8193110 Shawl knitted Leo pattern/8193110 Shawl knitted Leo pattern - Brown,,,,,,,False,,,,8917 Baby Other,9419,Baby Item,,1-PACK,3.95,USD,,,,,,,,,,,,,,,
8175,8248382,1,1,677,8801435.0,2022-12-15,2022-12-15,2022-12-15,2022-12-15,Closed,8248382/677/81435/1474583469/9,1474583469,8248382,SHAWL KNITTED LEO PATTERN:BROWN:0,1,8193110 Shawl knitted Leo pattern/8193110 Shawl knitted Leo pattern - Brown,,,,,,,False,,,,8917 Baby Other,9419,Baby Item,,1-PACK,3.95,USD,,,,,,,,,,,,,,,
8176,8248382,1,1,212,9536272.0,2022-02-11,2022-02-11,2022-02-11,2022-02-11,Closed,8248382/212/9536272/1378319255/2,1378319255,8248382,SHAWL KNITTED LEO PATTERN:BROWN:0,1,8193110 Shawl knitted Leo pattern/8193110 Shawl knitted Leo pattern - Brown,,,,,,,False,,,,8917 Baby Other,9419,Baby Item,,1-PACK,3.95,USD,,,,,,,,,,,,,,,
8177,8248382,1,1,804,7724938.0,2022-02-05,2022-02-01,2022-02-05,2022-02-05,Closed,8248382/4/7724938/1375325142/2,1375325142,8248382,SHAWL KNITTED LEO PATTERN:BROWN:0,1,8193110 Shawl knitted Leo pattern/8193110 Shawl knitted Leo pattern - Brown,,,,,,,False,,,,8917 Baby Other,9419,Baby Item,,1-PACK,3.95,USD,,,,,,,,,,,,,,,
