id,description,company_id,,hts_code,is_hazmat,is_flammable,is_special_handling,is_perishable,is_digital,is_deleted,is_lot_controlled,is_expiry_controlled,creation_date,brand_name,parent_product_id,display_desc,discontinue_day,base_uom,unit_price,currency_uom,product_available_day,shipping_weight,shipping_dimension,unit_volume,pkg_length,pkg_width,pkg_height,weight_uom,dim_uom,volume_uom,casepack_size,gtin,db_creation_dttm,db_updation_dttm,sap_0material_attr__prdha
8406668,BRIEF  CHLOE BRAZILIAN HW:BLACK:44/46,1,8293817 Brief  Chloe brazilian HW/8293817 Brief  Chloe brazilian HW - Black,,,,,,,FALSE,,,,2017 Ella M. Brief Match,9326,Brief/Pants,,1-PACK,3.24,USD,,,,,,,,,,,,,,,
8587253,BRIEF  AMIE BRAZILIAN HIGH:RED:48/50,1,8519007 Brief  Amie brazilian High/8519007 Brief  Amie brazilian High - Red,,,,,,,FALSE,,,,2017 Ella M. Brief Match,9326,Brief/Pants,,1-PACK,4.05,USD,,,,,,,,,,,,,,,
8581022,SOCK 4P SOCK RIBB WITH STRIPE:BLUE:19/21,1,8431643 Sock 4p sock ribb with stripe/8431643 Sock 4p sock ribb with stripe - Blue,,,,,,,FALSE,,,,8917 Baby Other,9322,Sock,,4-PACK,2.52,EUR,,,,,,,,,,,,,,,
8175016,DRESS SEERSUCKER:LIGHT DUSTY BLUE:62,1,8127674 Dress seersucker/8127674 Dress seersucker - Light Dusty Blue,,,,,,,FALSE,,,,8910 Baby Tops,9318,Dress,,1-PACK,4.15,USD,,,,,,,,,,,,,,,
8512126,SET SWEATER LEGGINGS APPLE:LIGHT BEIGE:68,1,8449328 Set sweater leggings apple/8449328 Set sweater leggings apple - Light Beige,,,,,,,FALSE,,,,8910 Baby Tops,9320,Indoor Clothes Set,,2-PACK,4.76,USD,,,,,,,,,,,,,,,
8621035,PYJAMAS ROMPER ICECREAM:DARK NAVY:86,1,8579035 Pyjamas Romper Icecream/8579035 Pyjamas Romper Icecream - Dark Navy,,,,,,,FALSE,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,3.2,USD,,,,,,,,,,,,,,,
8595370,CARDIGAN WAFFLE:LIGHT BEIGE MELANGE:80,1,8552102 Cardigan waffle/8552102 Cardigan waffle - Light Beige Melange,,,,,,,FALSE,,,,8910 Baby Tops,9462,Cardigan,,1-PACK,2.9,USD,,,,,,,,,,,,,,,
8335209,SOCK 4P RIBB SOCK BEIGE RED CO:DARK DUSTY RED:19/21,1,8194592 Sock 4p ribb sock beige red co/8194592 Sock 4p ribb sock beige red co - Dark Dusty Red,,,,,,,FALSE,,,,8917 Baby Other,9322,Sock,,4-PACK,1.98,EUR,,,,,,,,,,,,,,,
8339390,PYJAMAS EMILIA:BLUE:56,1,8307285 Pyjamas Emilia/8307285 Pyjamas Emilia - blue,,,,,,,FALSE,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,3.4,USD,,,,,,,,,,,,,,,
8632915,SHORTS SOLID FLEECE:DUSTY PINK:74,1,8584318 Shorts solid fleece/8584318 Shorts solid fleece - Dusty Pink,,,,,,,FALSE,,,,8911 Baby Bottoms,9316,Shorts,,1-PACK,1.58,USD,,,,,,,,,,,,,,,
